GEO_ID,NAME,S2503_C01_001E
47001,"Anderson County, Tennessee",30483
47003,"Bedford County, Tennessee",16882
47005,"Benton County, Tennessee",6786
47007,"Bledsoe County, Tennessee",4853
47009,"Blount County, Tennessee",50159
47011,"Bradley County, Tennessee",39840
47013,"Campbell County, Tennessee",16172
47015,"Cannon County, Tennessee",5513
47017,"Carroll County, Tennessee",11062
47019,"Carter County, Tennessee",23594
47021,"Cheatham County, Tennessee",14952
47023,"Chester County, Tennessee",5958
47025,"Claiborne County, Tennessee",13238
47027,"Clay County, Tennessee",3173
47029,"Cocke County, Tennessee",14181
47031,"Coffee County, Tennessee",21626
47033,"Crockett County, Tennessee",5335
47035,"Cumberland County, Tennessee",25347
47037,"Davidson County, Tennessee",277903
47039,"Decatur County, Tennessee",4623
47041,"DeKalb County, Tennessee",7487
47043,"Dickson County, Tennessee",18978
47045,"Dyer County, Tennessee",15180
47047,"Fayette County, Tennessee",15410
47049,"Fentress County, Tennessee",7403
47051,"Franklin County, Tennessee",16431
47053,"Gibson County, Tennessee",19223
47055,"Giles County, Tennessee",11496
47057,"Grainger County, Tennessee",8948
47059,"Greene County, Tennessee",27244
47061,"Grundy County, Tennessee",4838
47063,"Hamblen County, Tennessee",24411
47065,"Hamilton County, Tennessee",140890
47067,"Hancock County, Tennessee",2809
47069,"Hardeman County, Tennessee",8907
47071,"Hardin County, Tennessee",10267
47073,"Hawkins County, Tennessee",23330
47075,"Haywood County, Tennessee",7100
47077,"Henderson County, Tennessee",10671
47079,"Henry County, Tennessee",13406
47081,"Hickman County, Tennessee",8667
47083,"Houston County, Tennessee",2943
47085,"Humphreys County, Tennessee",6858
47087,"Jackson County, Tennessee",4543
47089,"Jefferson County, Tennessee",19910
47091,"Johnson County, Tennessee",6858
47093,"Knox County, Tennessee",183318
47095,"Lake County, Tennessee",2203
47097,"Lauderdale County, Tennessee",9754
47099,"Lawrence County, Tennessee",16131
47101,"Lewis County, Tennessee",4758
47103,"Lincoln County, Tennessee",13636
47105,"Loudon County, Tennessee",20215
47107,"McMinn County, Tennessee",20427
47109,"McNairy County, Tennessee",10022
47111,"Macon County, Tennessee",9202
47113,"Madison County, Tennessee",37729
47115,"Marion County, Tennessee",11582
47117,"Marshall County, Tennessee",12335
47119,"Maury County, Tennessee",33572
47121,"Meigs County, Tennessee",4790
47123,"Monroe County, Tennessee",17694
47125,"Montgomery County, Tennessee",70303
47127,"Moore County, Tennessee",2602
47129,"Morgan County, Tennessee",7517
47131,"Obion County, Tennessee",12715
47133,"Overton County, Tennessee",8974
47135,"Perry County, Tennessee",3317
47137,"Pickett County, Tennessee",2218
47139,"Polk County, Tennessee",7096
47141,"Putnam County, Tennessee",31110
47143,"Rhea County, Tennessee",12342
47145,"Roane County, Tennessee",20963
47147,"Robertson County, Tennessee",25388
47149,"Rutherford County, Tennessee",109468
47151,"Scott County, Tennessee",8703
47153,"Sequatchie County, Tennessee",5441
47155,"Sevier County, Tennessee",36945
47157,"Shelby County, Tennessee",350260
47159,"Smith County, Tennessee",7584
47161,"Stewart County, Tennessee",5246
47163,"Sullivan County, Tennessee",66239
47165,"Sumner County, Tennessee",65645
47167,"Tipton County, Tennessee",21325
47169,"Trousdale County, Tennessee",3054
47171,"Unicoi County, Tennessee",7521
47173,"Union County, Tennessee",7126
47175,"Van Buren County, Tennessee",2163
47177,"Warren County, Tennessee",15655
47179,"Washington County, Tennessee",53190
47181,"Wayne County, Tennessee",5954
47183,"Weakley County, Tennessee",13605
47185,"White County, Tennessee",9951
47187,"Williamson County, Tennessee",75344
47189,"Wilson County, Tennessee",48841
